sentence,ambigous_word,label,sense
"['വിചാരിച്ച്/V_VM_VNF', 'ഇരിക്കാതെ/V_VM_VNF', 'അടി/N_NN', 'കൊണ്ട/V_VM_VNF', 'കൊള്ളക്കാർ/N_NN', 'മലയിൽ/N_NN', 'താഴേക്ക്/N_NST', 'വീണു/V_VM_VF']",അടി,1,അടിക്കുക
"['ആട്ടിൻകൂട്ടത്തിലെ/N_NN', 'മുട്ടനാടുകൾ/N_NN', 'മുന്നോട്ടു/N_NST', 'കുതിച്ച്/V_VM_VNF', 'കൊള്ളക്കാരെ/N_NN', 'ഒറ്റ/JJ', 'അടി/N_NN']",അടി,1,അടിക്കുക
"['അടിച്ചു/V_VM_VNF_VBN', 'കൊല്ലാം/N_NN']",അടി,1,അടിക്കുക
"['അമ്മൂമ്മ/N_NN', 'മരപ്പട്ടി/N_NN', 'ആണെന്നു/V_VM_VF', 'വിചാരിച്ച്/V_VM_VNF', 'അപ്പൂപ്പനെ/N_NNP', 'അടിയോട്/N_NN', 'അടി/N_NN']",അടി,1,അടിക്കുക
"['പാവം/N_NN', 'അപ്പൂപ്പൻ/N_NN', 'അടി/N_NN', 'കൊണ്ട്/PSP', 'അവശനായി/N_NN', 'കിടക്കുന്നു/V_VM_VF']",അടി,1,അടിക്കുക
"['ദിവസത്തെ/N_NN', 'പരിചയം/N_NN', 'കൊണ്ടു/PSP', 'മനസ്സിലാക്കിയതിനാൽ/N_NN', 'അടിക്കുകയോ/V_VM_VNF', 'ശകാരിക്കുകയോ/V_VM_VNF', 'പതിവില്ല/V_VM_VF']",അടി,1,അടിക്കുക
"['അല്ലാതെ/RP_NEG', 'അടിച്ചും/N_NN', 'ഇടിച്ചും/RP_INTF', 'കൊണ്ട്/PSP', 'ചെയ്യിക്കാറില്ല/V_VM_VF']",അടി,1,അടിക്കുക
"['നീലകണ്ഠനെ/N_NN', 'അടിച്ചും/RB', 'ഇടിച്ചും/V_VM_VNF', 'ദേഹ/N_NN', 'ഉപദ്രവം/N_NN', 'ഏല്പിച്ചും/RB', 'കഠിനങ്ങൾ/N_NN', 'ആയ/PSP', 'കള്ളപ്പണികൾ/N_NN', 'ചെയ്യിച്ച്/V_VM_VNF', 'ഗോവിന്ദശ്ശാർ/N_NN', 'മാധവശ്ശാർ/N_NN', 'അറിയാതെ/RB', 'ധാരാളം/QT_QTF', 'പണം/N_NN', 'സമ്പാദിച്ചിരുന്നു/V_VM_VF']",അടി,1,അടിക്കുക
"['കുമാരപിള്ള/JJ', 'മർമ്മത്ത്/N_NN', 'അടിച്ചിട്ട്/N_NN', 'ആണെന്നും/V_VM_VNF', 'മറ്റും/N_NN', 'കാലത്തു/N_NN', 'പലരും/N_NN', 'വിധത്തിൽ/N_NN']",അടി,1,അടിക്കുക
"['എരുമകളെയും/N_NN', 'മറ്റും/N_NN', 'അടിച്ച്/V_VM_VNF', 'ഇറക്കാൻ/V_VM_VNF_INF', 'ആയി/V_VM_VNF', 'വല്ലവനും/V_VM_VNF', 'വന്നാൽ/CC_CCS', 'നേരെ/N_NN', 'കണ്ടങ്കോരൻ/N_NN', 'പാഞ്ഞ്/V_VM_VNF', 'എത്തും/V_VM_VF']",അടി,1,അടിക്കുക
"['സമയം/N_NN', 'പത്മനാഭപിള്ള/JJ', 'വടം/N_NN', 'പിടിച്ചിരുന്ന/V_VM_VNF', 'താപ്പാനകൾക്ക്/N_NN', 'ഓരോ/QT_QTF', 'അടി/N_NN', 'വെച്ചു/V_VM_VF', 'കൊടുത്തു/V_VM_VNF_VBN']",അടി,1,അടിക്കുക
"['ശേഖരൻ/N_NNP', 'കൊച്ചുകുഞ്ഞിനെ/N_NN', 'പിടിച്ച്/V_VM_VNF', 'മരത്തിന്മേൽ/N_NN', 'അടിച്ചതും/V_VM_VNF', 'കൊച്ചുകുഞ്ഞിന്റെ/N_NN', 'തല/N_NN', 'പൊട്ടി/N_NN', 'തെറിച്ചതും/V_VM_VNF', 'ശേഖരൻ/N_NNP', 'കൊലവിളി/N_NN', 'വിളിച്ചതും/V_VM_VNF', 'എല്ലാം/QT_QTF', 'ഒരുമിച്ചു/V_VM_VF', 'കഴിഞ്ഞു/V_VM_VF']",അടി,1,അടിക്കുക
